Find Me Time Average,Find Me Error Count,Matching Card Time,Matching Card Error Count,Word Scramble Time (-1 is a skip),Jigsaw Time,Current Time
0,0,0,0,0,0,2023-10-30 3:08:41 PM
3.881801,0,36.52807,9,88.67079,49.06541,2023-10-30 7:34:51 PM
41.72761,1,249.9738,8,-1,273.0778,2023-11-10 12:01:57 PM -LLD 11 Nov 10th 


4.871618,0,112.5628,8,146.6309,136.5395,2023-11-14 9:15:37 AM -LLD 51 Nov 14th OS
12.52438,0,416.5608,13,222.2973,166.5747,2023-11-15 9:32:50 AM- LLD 11 nov 15th OTU
31.52725,306,308.8304,11,225.1843,420.6497,2023-11-15 11:38:56 AM -Jud nov 15th 
7.060825,661,79.88659,5,37.20787,71.62606,2023-11-15 12:21:31 PM -deborah nov 15
7.164537,511,161.9281,7,141.6719,193.9615,2023-11-15 1:16:15 PM-linda- nov 15
22.47664,19,150.184,7,85.34451,524.6989,2023-11-17 8:59:01 AM -judy- nov 17
4.424286,118,130.6161,12,39.25166,92.14608,2023-11-17 9:44:10 AM-deb nov 17
4.789589,1,185.0885,10,104.2934,146.278,2023-11-17 10:18:51 AM-linda nov 17
5.081338,1,44.16221,5,78.09232,73.81428,2023-11-17 11:01:25 AM- joanne nov 17
13.33498,1,482.6884,25,234.4698,298.7912,2023-11-17 12:43:55 PM- -LLD11 nov 17
49.28492,0,593.0646,20,225.2805,261.7181,2023-11-22 9:38:21 AM -LLD 11 nov 22
5.266044,0,425.1075,14,81.50747,216.4786,2023-11-23 9:27:27 AM- LLD 11 nov 23
23.72596,2,216.4385,10,175.9928,240.6853,2023-11-23 11:24:47 AM judy nov 23
3.969926,0,100.4146,12,35.32703,63.00771,2023-11-23 12:04:54 PM- deb nov 23
3.582348,0,83.11565,3,129.9974,116.1339,2023-11-23 12:50:26 PM- linda nov 23
4.351824,0,76.20738,7,124.88,79.6862,2023-11-23 1:34:22 PM- joanne nov 23
8.681381,2790,134.2259,9,121.3643,283.5433,2023-11-24 8:56:18 AM- judy nov 24
5.378383,1691,86.93401,6,102.7913,61.76458,2023-11-24 9:30:26 AM- deb nov 24
2.82631,313,48.77854,5,136.9464,58.37868,2023-11-24 11:00:53 AM- joanne nov 23
5.084522,0,83.13702,6,168.2985,96.18137,2023-11-27 9:26:41 AM- joanne nov 27 monday
13.99902,608,399.1225,14,177.9857,334.0231,2023-11-27 12:45:06 PM -nov 27 LLD
7.375764,0,136.0726,6,98.8739,494.2456,2023-11-28 9:34:30 AM- judy nov 28th
3.277078,0,99.5143,12,19.10561,74.66157,2023-11-28 10:03:24 AM-deb nov 28
2.777494,0,44.18208,4,46.94754,89.74877,2023-11-28 11:36:37 AM- joanne nov 28
18.50999,0,413.1226,17,238.8415,392.8745,2023-11-29 11:04:21 AM- LLD 11 nov 29
5.517853,1461,256.8282,11,86.09177,304.2833,2023-11-29 12:35:07 PM -Judy nov 29
3.51003,1221,39.18755,3,64.34689,42.66838,2023-11-29 1:09:11 PM -deb nov 29
4.063656,1686,160.6179,12,118.6525,174.1181,2023-12-04 8:53:48 AM- Judy dec 4
3.838823,0,59.2616,5,22.60486,49.28636,2023-12-04 9:38:27 AM- deborah Dec 4
2.788246,583,53.62748,5,106.3854,79.00376,2023-12-04 10:17:31 AM- joanne dec 4th
21.30793,0,265.1496,15,153.6283,186.337,2023-12-04 12:36:43 PM- LLD 11 dec 4th 
5.746047,0,61.25537,8,89.10184,63.41942,2023-12-05 9:21:31 AM- joanne dec 5th
8.806472,107,92.68307,5,82.2807,197.9067,2023-12-06 11:24:54 AM- judy dec 6th 	
5.196185,1266,51.18343,6,18.15529,66.3277,2023-12-06 12:15:13 PM- deborah dec 6th
1.291686,375,79.41529,7,21.70324,30.3197,2024-05-23 3:29:45 PM
